Key,Id,Chinese (Simplified)(zh-Hans),English(en)
SETTINGS,55573471232,设置,SETTINGS
Music,8.59E+11,音乐,Music
cardName_player,1.59E+14,卡罗尔,Carol
cardName_nun,1.59E+14,修女,The Nun
cardName_horribleman,1.59E+14,可怕的人,Horrible Man
cardName_snowman,1.59E+14,雪人,Snowman
cardName_enemy,1.59E+14,胡桃夹子,Nutcracker
cardName_door,1.59E+14,门,Door
cardName_bell,1.59E+14,铃铛,Bell
cardName_coin,1.59E+14,金币,Coin
cardName_gift,1.59E+14,礼物,Gift
cardName_flashlight,1.59E+14,提灯,Lantern
cardName_hint,1.59E+14,提示,Hint
cardName_police,1.59E+14,教堂,Church
cardName_blank,1.59E+14,空白,Blank
cardName_iceground,1.59E+14,冰面,Ice Ground
cardName_sign,1.59E+14,路标,Sign
cardName_alarm,1.59E+14,警报,Alarm
cardName_carrot,1.59E+14,胡萝卜,Carrot
cardDesc_player,1.59E+14,这是你,This is you
cardDesc_nun,1.59E+14,避开她们并从门逃脱，她们总是站在门旁边。,Avoid Them and escape through doors.They always stand next to the door.
cardDesc_horribleman,1.59E+14,翻开所有敌人卡牌来抓住他,Reveal all enemy cards to catch him
cardDesc_snowman,1.59E+14,在相邻格子上召唤敌人，用提灯照射他三次来阻止他,Summons enemies to adjacent tiles. Dazzle him three times to stop it
cardDesc_enemy,1.59E+14,翻开它消耗1点生命值和所有礼物,Revealing it costs 1 HP and all Gifts
cardDesc_door,1.59E+14,通往下一个走廊。,Leads to the next corridor.
cardDesc_bell,1.59E+14,敲响它进入下一关,Ring it to go to the next level
cardDesc_coin,1.59E+14,获得1个金币,Gain 1 Coin
cardDesc_gift,1.59E+14,获得1个礼物,Gain 1 Gift
cardDesc_flashlight,1.59E+14,用它来翻开敌人以眩晕他,Use it to reveal an enemy to dazzle him
cardDesc_hint,1.59E+14,揭示关于敌人的信息,Reveals information about enemies
cardDesc_police,1.59E+14,在关卡开始时被揭示,Revealed at the start of the level
cardDesc_blank,1.59E+14,这里什么都没有,nothing here
cardDesc_iceground,1.59E+14,揭示一个随机相邻的安全格子,Reveals a random adjacent safe tile
cardDesc_sign,1.59E+14,指向铃铛,Points toward the Bell
cardDesc_alarm,1.59E+14,如果有未揭示的敌人相邻会报警,Alert if any unrevealed enemy adjcent to it
cardDesc_carrot,1.59E+14,获得一个护盾来防止下一个敌人,Get a Shield to prevent next enemy
GALLERY,1.00E+12,画廊,GALLERY
ESC to Skip,1.00E+12,按ESC跳过,ESC to Skip
Game Over,1.00E+12,游戏结束,Game Over
LEVEL SELECT,1.00E+12,选择关卡,LEVEL SELECT
game over,1.00E+12,游戏结束,game over
sfx,1.00E+12,音效,SFX
level,1.00E+12,关卡,level
gold,1.00E+12,金币,Coin
You saved Chirstmas! Thanks for playing!,1.00E+12,你拯救了圣诞节！感谢游玩！,You saved Chirstmas! Thanks for playing!
CONTINUE,1.00E+12,继续,CONTINUE
Main Menu,1.00E+12,主菜单,Main Menu
Window,1.00E+12,窗口,Window
SELL,5.43E+14,出售,SELL
BUY,5.30E+14,购买,BUY
Gallery,1.00E+12,画廊,Gallery
Close,1.00E+12,关闭,Close
Level Selection,1.00E+12,选择关卡,Level Selection
Continue,1.00E+12,继续,Continue
Ring Bell,1.00E+12,敲响铃铛,Ring Bell
Settings,1.00E+12,设置,Settings
FullScreen Window,1.00E+12,全屏窗口,FullScreen Window
FullScreen,1.00E+12,全屏,FullScreen
CARDS,1.00E+12,卡牌,CARDS
Retry,1.00E+12,重试,Retry
Start,1.00E+12,开始,Start
Level Select,1.00E+12,选择关卡,Level Select
CANCEL,1.00E+12,取消,CANCEL
Discord,1.00E+12,Discord,Discord
